"Date","Price","Open","High","Low","Vol.","Change %"
"31/03/2025","108.38","105.13","110.96","103.65","299.21M","-1.18%"
"28/03/2025","109.67","111.49","112.87","109.07","229.87M","-1.58%"
"27/03/2025","111.43","111.35","114.45","110.66","236.90M","-2.05%"
"26/03/2025","113.76","118.73","118.84","112.71","296.43M","-5.74%"
"25/03/2025","120.69","120.54","121.29","118.92","167.45M","-0.59%"
"24/03/2025","121.41","119.88","122.22","119.34","228.45M","3.15%"
"21/03/2025","117.70","116.94","117.99","115.42","266.50M","-0.70%"
"20/03/2025","118.53","116.55","120.20","116.47","248.83M","0.86%"
"19/03/2025","117.52","117.27","120.44","115.68","273.43M","1.81%"
"18/03/2025","115.43","118.00","119.02","114.54","299.69M","-3.43%"
"17/03/2025","119.53","122.74","122.89","118.03","255.50M","-1.76%"
"14/03/2025","121.67","118.61","121.88","118.15","277.59M","5.27%"
"13/03/2025","115.58","117.03","117.76","113.79","299.03M","-0.14%"
"12/03/2025","115.74","114.12","116.76","112.88","323.86M","6.42%"
"11/03/2025","108.76","106.99","112.24","104.77","354.87M","1.66%"
"10/03/2025","106.98","109.90","111.85","105.46","366.49M","-5.07%"
"07/03/2025","112.69","111.25","113.48","107.56","341.76M","1.92%"
"06/03/2025","110.57","113.53","115.35","110.22","321.18M","-5.74%"
"05/03/2025","117.30","117.58","118.28","114.51","284.34M","1.13%"
"04/03/2025","115.99","110.64","119.31","110.11","398.16M","1.69%"
"03/03/2025","114.06","123.51","123.70","112.28","411.38M","-8.69%"
"28/02/2025","124.92","118.02","125.09","116.40","389.09M","3.97%"
"27/02/2025","120.15","135.00","135.01","120.01","443.18M","-8.48%"
"26/02/2025","131.28","129.99","133.73","128.49","322.55M","3.67%"
"25/02/2025","126.63","129.98","130.20","124.44","271.43M","-2.80%"
"24/02/2025","130.28","136.56","138.59","130.08","251.38M","-3.09%"
"21/02/2025","134.43","140.04","141.46","134.03","228.22M","-4.05%"
"20/02/2025","140.11","140.03","140.66","136.79","143.90M","0.63%"
"19/02/2025","139.23","139.51","141.36","137.22","167.54M","-0.12%"
"18/02/2025","139.40","141.27","143.44","137.93","219.18M","0.40%"
"14/02/2025","138.85","136.48","139.25","135.50","195.48M","2.63%"
"13/02/2025","135.29","131.55","136.50","131.17","197.43M","3.16%"
"12/02/2025","131.14","130.02","132.24","129.08","160.28M","-1.25%"
"11/02/2025","132.80","132.58","134.48","131.02","178.90M","-0.58%"
"10/02/2025","133.57","130.09","135.00","129.96","216.99M","2.87%"
"07/02/2025","129.84","129.22","130.37","125.00","228.19M","0.90%"
"06/02/2025","128.68","127.42","128.77","125.21","251.48M","3.08%"
"05/02/2025","124.83","121.76","125.00","120.76","263.11M","5.21%"
"04/02/2025","118.65","116.96","121.20","116.70","256.55M","1.71%"
"03/02/2025","116.66","114.75","118.57","113.01","371.24M","-2.84%"
"31/01/2025","120.07","123.78","127.85","119.19","390.37M","-3.67%"
"30/01/2025","124.65","123.10","125.00","118.10","392.93M","0.77%"
"29/01/2025","123.70","126.50","126.89","120.05","467.12M","-4.10%"
"28/01/2025","128.99","121.81","129.00","116.25","579.67M","8.93%"
"27/01/2025","118.42","124.80","128.40","116.70","818.83M","-16.97%"
"24/01/2025","142.62","148.37","148.97","141.88","234.66M","-3.12%"
"23/01/2025","147.22","145.05","147.23","143.72","155.92M","0.10%"
"22/01/2025","147.07","144.66","147.79","143.67","237.65M","4.43%"
"21/01/2025","140.83","139.16","141.83","137.09","197.75M","2.27%"
"17/01/2025","137.71","136.69","138.50","135.46","201.19M","3.10%"
"16/01/2025","133.57","138.64","138.75","133.49","209.24M","-1.96%"
"15/01/2025","136.24","133.65","136.45","131.29","185.22M","3.40%"
"14/01/2025","131.76","136.05","136.38","130.05","195.59M","-1.10%"
"13/01/2025","133.23","129.99","133.49","129.51","204.81M","-1.97%"
"10/01/2025","135.91","137.45","139.92","134.22","207.60M","-3.00%"
"08/01/2025","140.11","142.58","143.95","137.56","227.35M","-0.02%"
"07/01/2025","140.14","153.03","153.13","140.01","351.78M","-6.22%"
"06/01/2025","149.43","148.59","152.16","147.82","265.38M","3.43%"
"03/01/2025","144.47","140.01","144.90","139.73","229.32M","4.45%"
"02/01/2025","138.31","136.00","138.88","134.63","198.25M","2.99%"
"31/12/2024","134.29","138.03","138.07","133.83","155.66M","-2.33%"
"30/12/2024","137.49","134.83","140.27","134.02","167.74M","0.35%"
"27/12/2024","137.01","138.55","139.02","134.71","170.58M","-2.09%"
"26/12/2024","139.93","139.70","140.85","137.73","116.52M","-0.21%"
"24/12/2024","140.22","140.00","141.90","138.65","105.16M","0.39%"
"23/12/2024","139.67","136.28","139.79","135.12","176.05M","3.69%"
"20/12/2024","134.70","129.81","135.28","128.22","306.53M","3.08%"
"19/12/2024","130.68","131.76","134.03","129.55","209.72M","1.37%"
"18/12/2024","128.91","133.86","136.70","128.28","277.44M","-1.14%"
"17/12/2024","130.39","129.09","131.59","126.86","259.41M","-1.22%"
"16/12/2024","132.00","134.18","134.40","130.42","237.95M","-1.68%"
"13/12/2024","134.25","138.94","139.60","132.54","231.52M","-2.25%"
"12/12/2024","137.34","137.08","138.44","135.80","159.21M","-1.41%"
"11/12/2024","139.31","137.36","140.17","135.21","184.90M","3.14%"
"10/12/2024","135.07","139.01","141.82","133.79","210.02M","-2.69%"
"09/12/2024","138.81","138.97","139.95","137.13","189.31M","-2.55%"
"06/12/2024","142.44","144.60","145.70","141.31","188.51M","-1.81%"
"05/12/2024","145.06","145.11","146.54","143.95","172.62M","-0.06%"
"04/12/2024","145.14","141.99","145.79","140.29","231.22M","3.48%"
"03/12/2024","140.26","138.26","140.54","137.95","164.41M","1.18%"
"02/12/2024","138.63","138.83","140.45","137.82","171.68M","0.27%"
"29/11/2024","138.25","136.78","139.35","136.05","141.86M","2.15%"
"27/11/2024","135.34","135.01","137.22","131.80","226.37M","-1.15%"
"26/11/2024","136.92","137.70","139.30","135.67","190.29M","0.66%"
"25/11/2024","136.02","141.99","142.05","135.82","344.94M","-4.18%"
"22/11/2024","141.95","145.93","147.16","141.10","236.41M","-3.22%"
"21/11/2024","146.67","149.35","152.89","140.70","400.95M","0.53%"
"20/11/2024","145.89","147.41","147.56","142.73","309.87M","-0.76%"
"19/11/2024","147.01","141.32","147.13","140.99","227.84M","4.89%"
"18/11/2024","140.15","139.50","141.55","137.15","221.87M","-1.29%"
"15/11/2024","141.98","144.87","145.24","140.08","250.13M","-3.26%"
"14/11/2024","146.76","147.64","149.00","145.55","194.46M","0.33%"
"13/11/2024","146.27","149.07","149.33","145.90","191.90M","-1.36%"
"12/11/2024","148.29","146.78","149.65","146.01","198.64M","2.09%"
"11/11/2024","145.26","148.68","148.85","143.57","182.33M","-1.61%"
"08/11/2024","147.63","148.77","149.77","146.26","175.67M","-0.84%"
"07/11/2024","148.88","146.39","148.93","146.17","207.32M","2.25%"
"06/11/2024","145.61","142.96","146.49","141.96","242.04M","4.07%"
"05/11/2024","139.91","137.45","140.37","137.33","160.54M","2.84%"
"04/11/2024","136.05","137.21","138.96","135.57","187.53M","0.48%"
"01/11/2024","135.40","134.70","137.31","134.57","207.13M","1.99%"
"31/10/2024","132.76","137.60","137.61","132.11","270.04M","-4.72%"
"30/10/2024","139.34","139.54","140.33","136.81","179.42M","-1.36%"
"29/10/2024","141.25","140.29","142.26","138.90","157.59M","0.52%"
"28/10/2024","140.52","143.00","143.14","140.05","173.59M","-0.72%"
"25/10/2024","141.54","140.93","144.13","140.80","205.12M","0.80%"
"24/10/2024","140.41","140.82","141.35","138.46","172.36M","0.61%"
"23/10/2024","139.56","142.03","142.43","137.46","285.93M","-2.81%"
"22/10/2024","143.59","142.91","144.42","141.78","226.31M","-0.08%"
"21/10/2024","143.71","138.13","143.71","138.00","264.56M","4.14%"
"18/10/2024","138.00","138.66","138.90","137.28","176.09M","0.78%"
"17/10/2024","136.93","139.34","140.89","136.87","306.44M","0.89%"
"16/10/2024","135.72","133.98","136.62","131.58","264.88M","3.13%"
"15/10/2024","131.60","137.87","138.57","128.74","377.83M","-4.69%"
"14/10/2024","138.07","136.47","139.60","136.30","232.35M","2.43%"
"11/10/2024","134.80","134.01","135.78","133.66","170.21M","-0.01%"
"10/10/2024","134.81","131.91","135.00","131.00","242.31M","1.63%"
"09/10/2024","132.65","134.11","134.52","131.38","246.19M","-0.18%"
"08/10/2024","132.89","130.26","133.48","129.42","285.72M","4.05%"
"07/10/2024","127.72","124.99","130.64","124.95","346.25M","2.24%"
"04/10/2024","124.92","124.94","125.04","121.83","244.47M","1.68%"
"03/10/2024","122.85","120.92","124.36","120.34","277.12M","3.37%"
"02/10/2024","118.85","116.44","119.38","115.14","221.85M","1.58%"
"01/10/2024","117.00","121.76","122.44","115.79","302.09M","-3.66%"